,Season,Episode,Character,Line,Processed Line
55862,6,5,Cartman,Ey! You guys! I'm seriouslih!,ey you guys im seriouslih
55863,6,5,Kyle,"God-dammit! If we miss the commercials, I'll never forgive my brother!",goddammit if we miss the commercials ill never forgive my brother
55868,6,5,Stan,"Yeahyeah, how do you change the channels?",yeahyeah how do you change the channels
55871,6,5,Cartman,"There, you got it, you got it!",there you got it you got it
55876,6,5,Cartman,"We don't give two craps about Russell Crowe, Chef. We just wanna see the trailer about the new Terrance & Phillip movie, that's supposed to play during the commercials.",we dont give two craps about russell crowe chef we just wanna see the trailer about the new terrance  phillip movie thats supposed to play during the commercials
55882,6,5,Butters,"Awww, they didn't play it. They didn't show the Terrance & Phillip trailer.",awww they didnt play it they didnt show the terrance  phillip trailer
55883,6,5,Stan,I knew it. I knew they wouldn't play it during the first commercial break.,i knew it i knew they wouldnt play it during the first commercial break
55884,6,5,Kyle,"Yeah, they want everyone to stick around and watch more of this retarded show.",yeah they want everyone to stick around and watch more of this retarded show
55893,6,5,Cartman,"This TV is great, Chef.",this tv is great chef
55895,6,5,Stan,"Dude, put it back, Chef. More commercials might come on soon.",dude put it back chef more commercials might come on soon
55897,6,5,Kyle,"Get it back to normal, Chef!",get it back to normal chef
55902,6,5,Butters,Uh but the next commercials will be on soon.,uh but the next commercials will be on soon
55903,6,5,Stan,"Come on, we gotta go somewhere else!",come on we gotta go somewhere else
55904,6,5,Butters,Whre do we go? Where do we go?,whre do we go where do we go
55905,6,5,Stan,The bar! They've got a TV at the bar!,the bar theyve got a tv at the bar
55910,6,5,Cartman,This is killing me. The human body was not meant to move quickly like that.,this is killing me the human body was not meant to move quickly like that
55922,6,5,Kyle,We're not kids. We're full-grown men with dwarfism! How dare you assume that all midgets are children! We demand an apology!,were not kids were fullgrown men with dwarfism how dare you assume that all midgets are children we demand an apology
55924,6,5,Stan,But we have to watch the commercials in this show.,but we have to watch the commercials in this show
55926,6,5,Cartman,Butters will give hand jobs in the corner for a dollar.,butters will give hand jobs in the corner for a dollar
55927,6,5,Butters,Sure! I'm good at all kinds of jobs!,sure im good at all kinds of jobs
55930,6,5,Stan,"Come on, we gotta get to a TV!",come on we gotta get to a tv
55931,6,5,Cartman,"Oh, you've gotta be kidding' me!",oh youve gotta be kidding me
55935,6,5,Cartman,Find the remote! Find the remote! Hold it!,find the remote find the remote hold it
55936,6,5,Kyle,We're not too late!,were not too late
55961,6,5,Stan,Commercial Break Number Two!,commercial break number two
55963,6,5,Cartman,That's it? That's all the commercials?,thats it thats all the commercials
55964,6,5,Kyle,They didn't play the Terrance & Phillip trailer again!,they didnt play the terrance  phillip trailer again
55965,6,5,Stan,I knew it. They're waiting until the very last commercial break.,i knew it theyre waiting until the very last commercial break
55966,6,5,Kyle,Ugh! We're gonna end up watching this whole retared Russell Crowe show!,ugh were gonna end up watching this whole retared russell crowe show
55971,6,5,Cartman,Shh. Okay?! Old people need to be quiet right now!,shh okay old people need to be quiet right now
55984,6,5,Cartman,"Shut up! Shut the hell up! We're watching this until the next commercial and that's final, old people!",shut up shut the hell up were watching this until the next commercial and thats final old people
55988,6,5,Stan,"Oh, God, it's horrible!",oh god its horrible
55990,6,5,Cartman,"God, I hate old people!",god i hate old people
55991,6,5,Stan,We have to go to Butters' or Cartman's house! We have nowhere else to go!,we have to go to butters or cartmans house we have nowhere else to go
55992,6,5,Butters,"I told you, we can't go to my house!",i told you we cant go to my house
55993,6,5,Cartman,And my house is being fumigated!,and my house is being fumigated
55994,6,5,Stan,"Well, screw it! We'll watch it in your house even if it is being fumigated!",well screw it well watch it in your house even if it is being fumigated
55995,6,5,Butters,"Oh boy, we gotta hurry, guys!  ...Come on!",oh boy we gotta hurry guys   come on
55997,6,5,Kyle,"It's okay, it's still the show.",its okay its still the show
55999,6,5,Kyle,"Oh, dude, I don't know how I can take it.",oh dude i dont know how i can take it
56000,6,5,Stan,Me neither. I'll be dead before the commercials. Wait a minute! I forgot there's a black and white television back at my house!,me neither ill be dead before the commercials wait a minute i forgot theres a black and white television back at my house
56001,6,5,Kyle,Will your sister let us watch it?,will your sister let us watch it
56003,6,5,Stan,Hurry! The commercials will be on any minute!,hurry the commercials will be on any minute
56004,6,5,Butters,"Aw! Oh man! Uh, uh uh uh...",aw oh man uh uh uh uh 
56005,6,5,Cartman,"Oh my god, eugh! Oh God! Oh, Jesus help me!  Oh! I lost a doughnut!  Oooh! Oh oh!  Oh my God!  Leave no doughnut behind!",oh my god eugh oh god oh jesus help me  oh i lost a doughnut  oooh oh oh  oh my god  leave no doughnut behind
56008,6,5,Butters,I never gave Shelly her tampons. She's been this whole time without them.,i never gave shelly her tampons shes been this whole time without them
56011,6,5,Kyle,Look! Crack addicts with a television!,look crack addicts with a television
56014,6,5,Stan,The last commercial break has to be coming on any second!,the last commercial break has to be coming on any second
56018,6,5,Kyle,Oh Jesus! Now where do we go??,oh jesus now where do we go
56019,6,5,Stan,"We've tried everywhere! Butters, are you absolutely sure we can't go to your house??",weve tried everywhere butters are you absolutely sure we cant go to your house
56020,6,5,Butters,I'm sure! There's no way!,im sure theres no way
56022,6,5,Butters,"Uh because! Uh my parents are out of town, and I don't have a babysitter.",uh because uh my parents are out of town and i dont have a babysitter
56023,6,5,Cartman,"Oh, God-dammit you better be kidding!",oh goddammit you better be kidding
56024,6,5,Butters,No! I really don't have a babysitter. That's why I'm stayin' at Stan's.,no i really dont have a babysitter thats why im stayin at stans
56025,6,5,Kyle,This whole time your TV is in a house with nobody in it?!,this whole time your tv is in a house with nobody in it
56026,6,5,Stan,"Come on, let's just go! We'll kill Butters later!",come on lets just go well kill butters later
56028,6,5,Cartman,"The time has come! Turn it on, turn it on!",the time has come turn it on turn it on
56031,6,5,Kyle,The last commercial break is starting!,the last commercial break is starting
56033,6,5,Cartman,These commercials are all so God-damn stupid!,these commercials are all so goddamn stupid
56034,6,5,Stan,"Jesus Christ, how long is this commercial break gonna be??",jesus christ how long is this commercial break gonna be
56035,6,5,Kyle,What if they don't show the Terrance & Phillip trailer at all? What if we went through all of this for nothing?,what if they dont show the terrance  phillip trailer at all what if we went through all of this for nothing
56036,6,5,Butters,They have to show it! They promised they would!,they have to show it they promised they would
56037,6,5,Cartman,"You guys, calm down. This is what TV shows always do. They make the last commercial break the longest.",you guys calm down this is what tv shows always do they make the last commercial break the longest
56038,6,5,Kyle,That's bull-crap! TV shows are gay!,thats bullcrap tv shows are gay
56039,6,5,Stan,"Wait a minute! Look!  ""The following preview has..."" This is it! This is it!",wait a minute look  the following preview has  this is it this is it
56044,6,5,Kyle,They were wearing cowboy hats!  Did you see??  Did you see??,they were wearing cowboy hats  did you see  did you see
56045,6,5,Cartman,"Clyde, Clyde? Did you see that?  Yeah, we- Whoa, we think it's gonna be good, too.",clyde clyde did you see that  yeah we whoa we think its gonna be good too
56046,6,5,Butters,"Oh, I'm so glad we didn't miss it!",oh im so glad we didnt miss it
56047,6,5,Cartman,"You guys, Clyde said he taped it and kids can come over now to have a see.",you guys clyde said he taped it and kids can come over now to have a see
56048,6,5,Stan,"Oh, dude, let's go!",oh dude lets go
56050,6,5,Kyle,"It looks even better than their first movie, huh?",it looks even better than their first movie huh
56051,6,5,Cartman,"Yeah, it sure does!",yeah it sure does
56052,6,5,Stan,I wonder if it's all a western?,i wonder if its all a western
56053,6,5,Butters,How far away is June?,how far away is june
56061,6,6,Stan,"Okay, here he comes.",okay here he comes
56062,6,6,Kyle,Who wants to tell him?,who wants to tell him
56064,6,6,Butters,"Hehey, fellas. I'm glad you called me. There was a pie-eating contest down at the firehouse, and I thought we should all go.",hehey fellas im glad you called me there was a pieeating contest down at the firehouse and i thought we should all go
56065,6,6,Cartman,"Butters, could you take a seat, please?",butters could you take a seat please
56067,6,6,Cartman,"Butters, we have to have a very difficult conversation.",butters we have to have a very difficult conversation
56068,6,6,Butters,Wull what is it?,wull what is it
56069,6,6,Cartman,"Well, in the, in the months since our friend Kenny died, you've really stepped up as a friend and ""filled the gap.""",well in the in the months since our friend kenny died youve really stepped up as a friend and filled the gap
56070,6,6,Butters,"Well uh, it's my pleasure! I love bein' you guys' new friend.",well uh its my pleasure i love bein you guys new friend
56071,6,6,Cartman,"Yes. Well, Butters, it's just not working out.",yes well butters its just not working out
56073,6,6,Cartman,"I'm afraid we're gonna have to let you go, as our friend. You're just tooo...",im afraid were gonna have to let you go as our friend youre just tooo 
56076,6,6,Butters,"Well, but ah I can get better.",well but ah i can get better
56077,6,6,Stan,"Butters, you just don't really fit in with us here. We think it's best for all of us if you for friendship opportunities elsewhere.",butters you just dont really fit in with us here we think its best for all of us if you for friendship opportunities elsewhere
56078,6,6,Kyle,"But we certainly want to thank you for all your hard work and attempts at being our friend, lame as they were.",but we certainly want to thank you for all your hard work and attempts at being our friend lame as they were
56079,6,6,Butters,Huh but ah I thought we were gettin' along... great. Heh ah I thought we were really havin' fun together.,huh but ah i thought we were gettin along  great heh ah i thought we were really havin fun together
56080,6,6,Cartman,"Yes, well, we weren't.",yes well we werent
56081,6,6,Butters,"Please, fellas, uh don't fire me.",please fellas uh dont fire me
56082,6,6,Kyle,"We're sorry, Butters.  Our mind is made up.",were sorry butters  our mind is made up
56083,6,6,Cartman,"But we certainly wanna thank you for coming by.  You know the way out, right?",but we certainly wanna thank you for coming by  you know the way out right
56086,6,6,Kyle,"Hm, I think he took that pretty well, I think.",hm i think he took that pretty well i think
56088,6,6,Stan,"All right, so let's get started on who's gonna be the new person to take Kenny's place.",all right so lets get started on whos gonna be the new person to take kennys place
56089,6,6,Butters,"The world isn't fair. I do everything people ask me to. I stand in the lunch line for them, I buy tampons at the store for them, I go on Maury Povich with balls on my chin for them.  And yet, nobody accepts me. I am an outcast. A shadow of a man who can find no companion... ship. No love from others.  Fine!  If I am to be an outcast, so be it!  I'm through doin' what others tell me to do, and I am sick of this world and the stin-, and the stinky people in it!  From now on I will dedicate my life to bringing chaos to the world that has rejected me!  I will become the greatest supervillain  the world has ever seen!  Where I go, destruction will follow!",the world isnt fair i do everything people ask me to i stand in the lunch line for them i buy tampons at the store for them i go on maury povich with balls on my chin for them  and yet nobody accepts me i am an outcast a shadow of a man who can find no companion  ship no love from others  fine  if i am to be an outcast so be it  im through doin what others tell me to do and i am sick of this world and the stin and the stinky people in it  from now on i will dedicate my life to bringing chaos to the world that has rejected me  i will become the greatest supervillain  the world has ever seen  where i go destruction will follow
56090,6,6,Butters,"Prepare, O little town! Uh prepare for the greatest supervillain you've ever seen! Professor Chaos!",prepare o little town uh prepare for the greatest supervillain youve ever seen professor chaos
56092,6,6,Butters,"Hu-uh, okay Mom.  Yes. Uh sleet sleep for now.  Tomorrow, the chaos begins.",huuh okay mom  yes uh sleet sleep for now  tomorrow the chaos begins
56093,6,6,Cartman,"All right, we wanna thank everybody for coming. This is a great turnout.  Uh, as you know, our friend Kenny died a few months ago and we are still looking to fill the void with a new friend. Now, you've all been selected as possible candidates, but unfortunately, there is only room for one of you. So Stan and Kyle and I will be spending the next few days going out with each one of you and narrowing our choices down. Until we think we've found the perfect friend. Are there any questions?",all right we wanna thank everybody for coming this is a great turnout  uh as you know our friend kenny died a few months ago and we are still looking to fill the void with a new friend now youve all been selected as possible candidates but unfortunately there is only room for one of you so stan and kyle and i will be spending the next few days going out with each one of you and narrowing our choices down until we think weve found the perfect friend are there any questions
56095,6,6,Cartman,"Clyde... ... okay. Now, the first thing we have to do is cut the list down from twenty choices to ten. And so today we will all be going to the amusement park together to see who we want to cut. Please keep in mind that this will all be videotaped, so put on your best friend faces, and may the best friend win. Oh, and we will be needing a ten dollar per person entrance fee.",clyde    okay now the first thing we have to do is cut the list down from twenty choices to ten and so today we will all be going to the amusement park together to see who we want to cut please keep in mind that this will all be videotaped so put on your best friend faces and may the best friend win oh and we will be needing a ten dollar per person entrance fee
56099,6,6,Butters,"I am Professor Chaos, and now, this puny world uh will bow down to me!",i am professor chaos and now this puny world uh will bow down to me
56100,6,6,Stan,So today we went to the amusement park with all our possible friends.  It was a really fun time. We rode all the rides and everyone got along great.,so today we went to the amusement park with all our possible friends  it was a really fun time we rode all the rides and everyone got along great
56101,6,6,Cartman,I think the person that stood out most at the amusement park was Jimmy.,i think the person that stood out most at the amusement park was jimmy
56103,6,6,Kyle,Tweek. Now there's an interesting choice. Tweek has a lot of qualities that I look for in a friend.,tweek now theres an interesting choice tweek has a lot of qualities that i look for in a friend
56106,6,6,Cartman,"...Yeah, I've only seen that kid in class, but he never does anything. He's more like a prop.", yeah ive only seen that kid in class but he never does anything hes more like a prop
56107,6,6,Kyle,"Towelie is a tough choice because,  even though I can see how always having a towel around can come in handy, he's just always so high.",towelie is a tough choice because  even though i can see how always having a towel around can come in handy hes just always so high
56109,6,6,Cartman,"We decided to get some one-on-one time with Jimmy and ride the log ride.  The great thing was that, because Jimmy's crippled, we got to go to the front of the line.  That was definitely big points for Jimmy, you know, but, but then we got to the ride itself, and...",we decided to get some oneonone time with jimmy and ride the log ride  the great thing was that because jimmys crippled we got to go to the front of the line  that was definitely big points for jimmy you know but but then we got to the ride itself and 
56112,6,6,Cartman,"Oh, really?  That's gonna cost some points.",oh really  thats gonna cost some points
56113,6,6,Kyle,"But right now I'd say if we're gonna have a retard for a friend, I, I have to pick Timmy. Because Timmy doesn't tell any jokes.",but right now id say if were gonna have a retard for a friend i i have to pick timmy because timmy doesnt tell any jokes
56115,6,6,Stan,One thing for sure: picking our new friend isn't gonna be easy.,one thing for sure picking our new friend isnt gonna be easy
56116,6,6,Butters,Kneel. Kneel before Professor Chaos!,kneel kneel before professor chaos
56117,6,6,Butters,"Ah, the look on their faces when they got the wrong soup. I love bringing chaos!  And that's only the beginning!",ah the look on their faces when they got the wrong soup i love bringing chaos  and thats only the beginning
56118,6,6,Cartman,"All right, everyone. It was a tough decision, but based on our time with you all at the amusement park, we have whittled our choices down to ten.  If you receive a rose, please stay. If you don't, get the fudge out.  Kyle, will you announce the people we want to stay?",all right everyone it was a tough decision but based on our time with you all at the amusement park we have whittled our choices down to ten  if you receive a rose please stay if you dont get the fudge out  kyle will you announce the people we want to stay
56119,6,6,Kyle,Token.  Clyde.  Craig  Timmy,token  clyde  craig  timmy
56122,6,6,Kyle,Pip  Jimmy  Jason  Towelie  Luigi .,pip  jimmy  jason  towelie  luigi 
56123,6,6,Cartman,"Just one more rose left, Kyle. Who does it go to?",just one more rose left kyle who does it go to
56126,6,6,Cartman,"All right, the rest of you, thanks for coming. Get the fudge out!",all right the rest of you thanks for coming get the fudge out
56129,6,6,Stan,"All right, congratulations to those of you selected to stay. In the end, one of you will be the new Kenny.  Good luck.",all right congratulations to those of you selected to stay in the end one of you will be the new kenny  good luck
56131,6,6,Butters,"It certainly is, Mother. Did ya hear about what's been goin' on? Some horrible new supervillain made somebody get the wrong soup order ot Bennigan's.",it certainly is mother did ya hear about whats been goin on some horrible new supervillain made somebody get the wrong soup order ot bennigans
56134,6,6,Butters,"Uh Dad, can I uh can I see the newspaper real quick?",uh dad can i uh can i see the newspaper real quick
56136,6,6,Butters,"Nothing.  Nothing!  It's the liberal media! They're keeping the stories of my deeds covered up, so as not to cause a panic. Well, I guess it's time to take it up a notch!",nothing  nothing  its the liberal media theyre keeping the stories of my deeds covered up so as not to cause a panic well i guess its time to take it up a notch
56138,6,6,Kyle,This looks pretty good.,this looks pretty good
56139,6,6,Stan,"Yeah, it's not bad. Next?",yeah its not bad next
56142,6,6,Cartman,"Okay, so now we're gonna see how you all work as a friend during classtime. Your performances will be judged primarily on how you help us cheat and give us answers. So good luck, everybody.",okay so now were gonna see how you all work as a friend during classtime your performances will be judged primarily on how you help us cheat and give us answers so good luck everybody
56146,6,6,Butters,"Yes. Look around for your precious eraser. You won't find it. That eraser's in my back yard, buried three feet below the surface of the earth.  And do you even suspect me?? No! Now we shall all see how you all like your dear chalkboard without an eraser.  And information, it just keeps pilin' up and pilin' up, until your minuscule brains can take it no longer!",yes look around for your precious eraser you wont find it that erasers in my back yard buried three feet below the surface of the earth  and do you even suspect me no now we shall all see how you all like your dear chalkboard without an eraser  and information it just keeps pilin up and pilin up until your minuscule brains can take it no longer
56148,6,6,Butters,"So! You all think that you can outsmart Professor Chaos, do you?!",so you all think that you can outsmart professor chaos do you
56152,6,6,Butters,"Ah, I need to go to the bathroom. R-really bad.",ah i need to go to the bathroom rreally bad
56154,6,6,Butters,"Alright. I'm goin' to the bathroom now. If anybody needs me, ah that's where I'll be.",alright im goin to the bathroom now if anybody needs me ah thats where ill be
56156,6,6,Cartman,"Uh, what's the question again?",uh whats the question again
56158,6,6,Cartman,Five times one is of course...,five times one is of course 
56161,6,6,Butters,"The time for fun and games is over, feeble-minded fools!",the time for fun and games is over feebleminded fools
56163,6,6,Butters,"I am Professor Chaos! Bringer of destruction and maker of doom! Those who do not know me yet shall know me very soon, for the hour of Chaos ih-is at hand!",i am professor chaos bringer of destruction and maker of doom those who do not know me yet shall know me very soon for the hour of chaos ihis at hand
56165,6,6,Butters,"Oh! Ah, I'm back from the bathroom. Ah I really let one go in there.",oh ah im back from the bathroom ah i really let one go in there
56167,6,6,Butters,"Why yes, I did. But he pushed me down and I scraped my elbow.  Go on and look at it. It's scraped. Look.  Yeesss. Go on and see the red mark on my elbow, the red mark I made myself to throw you off Professor Chaos's trail.",why yes i did but he pushed me down and i scraped my elbow  go on and look at it its scraped look  yeesss go on and see the red mark on my elbow the red mark i made myself to throw you off professor chaoss trail
56169,6,6,Kyle,"You're such a fatass, Cartman!",youre such a fatass cartman
56170,6,6,Cartman,"Oh yeah?! Well, you're a stupid Jew!",oh yeah well youre a stupid jew
56173,6,6,Cartman,"Okay, Craig, interesting choice. Powerful stuff there, Craig. Thank you very much.",okay craig interesting choice powerful stuff there craig thank you very much
56174,6,6,Butters,"It is almost ...complete. The creation of my minions who will assist me in bringing terror to the world.  There we go.  Ye-ess, my minions of, of chaos.  Shhh. Night now, night now my lovelies. Your time to bring dest-struction will come very soon.  Aaahhh!",it is almost  complete the creation of my minions who will assist me in bringing terror to the world  there we go  yeess my minions of of chaos  shhh night now night now my lovelies your time to bring deststruction will come very soon  aaahhh
56178,6,6,Butters,"Okay, Mom.  So. Someone has discovered my horrible secret. This could be a trap set by the FBI. Oh, I'll be at the docks, precious FBI! But it is I who'll have the trap set for you! Come, my minions!  We haven't much time!",okay mom  so someone has discovered my horrible secret this could be a trap set by the fbi oh ill be at the docks precious fbi but it is i wholl have the trap set for you come my minions  we havent much time
56179,6,6,Cartman,"All right, everyone, the time has come for us to narrow the list down from ten to six. But first, let us just say that the people who we didn't pick were only not picked because they totally sucked balls. Kyle?",all right everyone the time has come for us to narrow the list down from ten to six but first let us just say that the people who we didnt pick were only not picked because they totally sucked balls kyle
56190,6,6,Cartman,"Just one more rose, Kyle.",just one more rose kyle
56193,6,6,Cartman,"All right, those with roses will move on to the swimsuit and talent competition. The rest of you, get the fudge out!",all right those with roses will move on to the swimsuit and talent competition the rest of you get the fudge out
56195,6,6,Cartman,"Ooooooo, somebody's a sore loser! Clyde, I believe I said, ""get the fudge out!"" Which means, kiss mah fudgin' ass, go fudge yourself, fudge ya, get the fudge out, Clyde!",ooooooo somebodys a sore loser clyde i believe i said get the fudge out which means kiss mah fudgin ass go fudge yourself fudge ya get the fudge out clyde
56197,6,6,Butters,"Oh, hey Dougie.  Oh I mean, my name is Professor Chaos.",oh hey dougie  oh i mean my name is professor chaos
56199,6,6,Butters,"Very well. You called out Professor Chaos, and you also called out, eh your own demise!  Go now, my minions. Go and take this, this foolish mortal down!  Aw minions, naw, not that way. He-  come back minions.",very well you called out professor chaos and you also called out eh your own demise  go now my minions go and take this this foolish mortal down  aw minions naw not that way he  come back minions
56205,6,6,Butters,"Uh very well. You shall be my accomplice in evil. Together, we shall bring the world to its knees! A-and make all those who banished us from society run... red.",uh very well you shall be my accomplice in evil together we shall bring the world to its knees aand make all those who banished us from society run  red
56207,6,6,Butters,"Well sure you do. Ah I am professor, and you shall be my general. From now on you are General... Disarray.",well sure you do ah i am professor and you shall be my general from now on you are general  disarray
56209,6,6,Butters,"Now let us go look for my minions!  They ran away here, now to find 'em...",now let us go look for my minions  they ran away here now to find em 
56210,6,6,Cartman,The swimsuit competition really gave us a fresh look at some of the candidates.,the swimsuit competition really gave us a fresh look at some of the candidates
56215,6,6,Kyle,"Anything that'll impress us, Token.",anything thatll impress us token
56216,6,6,Cartman,"If you were our friend, how would you keep us entertained?",if you were our friend how would you keep us entertained
56220,6,6,Kyle,"Well Token was a definite winner for talent show. But then we decided to take everyone to a baseball game, to see how we got along there.",well token was a definite winner for talent show but then we decided to take everyone to a baseball game to see how we got along there
56223,6,6,Kyle,Yeah! Isn't this great?!,yeah isnt this great
56226,6,6,Cartman,"You don't drink tea in a ballpark, you French piece of crap!",you dont drink tea in a ballpark you french piece of crap
56228,6,6,Cartman,"All right, that does it! Pip, get the fudge out! Next!",all right that does it pip get the fudge out next
56229,6,6,Stan,"Okay, let's try this.",okay lets try this
56230,6,6,Cartman,"Hey, what's wrong with the Jumbotron?",hey whats wrong with the jumbotron
56231,6,6,Butters,"People of Earth! Your meaningless lives are about to end! I am Professor Chaos,  and this is my partner ih-in evil, General Disarray! In the past few days I have rained terror down upon the society that shunned me! And now it is time for my Labor of Lonely! I am going to... flood... the world!",people of earth your meaningless lives are about to end i am professor chaos  and this is my partner ihin evil general disarray in the past few days i have rained terror down upon the society that shunned me and now it is time for my labor of lonely i am going to  flood  the world
56235,6,6,Butters,"Oh yes. Every living creature and every sacred building will soon be under leagues and leagues of cold and dark water. And there is nothing you can do to stop me! General Disarray, begin the flooding of Earth!  You brought this upon yourselves! You made the outcasts of the world! Now watch! Watch as your precious planet drowns! Watch!",oh yes every living creature and every sacred building will soon be under leagues and leagues of cold and dark water and there is nothing you can do to stop me general disarray begin the flooding of earth  you brought this upon yourselves you made the outcasts of the world now watch watch as your precious planet drowns watch
56239,6,6,Butters,"Our reign of terror is complete! Our tur- turmoil has now come full circle!  Hey, is the hose on full, General Disarray?",our reign of terror is complete our tur turmoil has now come full circle  hey is the hose on full general disarray
56241,6,6,Butters,"Oh. Alright then. Nothing to do now but watch the world die!  Boy, this sure is takin' a long time.",oh alright then nothing to do now but watch the world die  boy this sure is takin a long time
56242,6,6,Stan,"Okay, so how do we all feel about Towelie as our new friend?",okay so how do we all feel about towelie as our new friend
56243,6,6,Cartman,I think Towelie is awesome.,i think towelie is awesome
56244,6,6,Kyle,"Towelie is cool, but he gets stoned all the time. You can't really rely on him for anything.",towelie is cool but he gets stoned all the time you cant really rely on him for anything
56245,6,6,Stan,"Oh, this is giving me a headache.",oh this is giving me a headache
56246,6,6,Kyle,"Eh now,  come on, you guys, we can't take this decision lightly. Whoever we pick is going to be the person we do everything with from now on.",eh now  come on you guys we cant take this decision lightly whoever we pick is going to be the person we do everything with from now on
56247,6,6,Stan,"You're right. Well now, how about Timmy?  He's quiet and he takes direction well.",youre right well now how about timmy  hes quiet and he takes direction well
56248,6,6,Cartman,"Yeah, but Timmy can be really self-centered.",yeah but timmy can be really selfcentered
56251,6,6,Kyle,So? You're a smartass!,so youre a smartass
56252,6,6,Cartman,Yeah. Do we really need another one?,yeah do we really need another one
56260,6,6,Cartman,"Alright Jimmy, see ya.",alright jimmy see ya
56262,6,6,Butters,"Not long now, General Disarray, and... our horrible plan will be complete.",not long now general disarray and  our horrible plan will be complete
56264,6,6,Butters,"Oh yeah. I hadn't thought o' that. That's a pretty good idea. I'll go get a hammer.  Hey, who is that?",oh yeah i hadnt thought o that thats a pretty good idea ill go get a hammer  hey who is that
56267,6,6,Butters,"Heeyyy, what are you doin'?  Aaaah! You may have won this time! But I will be back!",heeyyy what are you doin  aaaah you may have won this time but i will be back
56269,6,6,Butters,"Well I had another idea of how to kill the world, but I thought it was... almost too horrible to e- to even speak of, but-  but now they have left me with no other choice!",well i had another idea of how to kill the world but i thought it was  almost too horrible to e to even speak of but  but now they have left me with no other choice
56270,6,6,Cartman,"Well, this is it. We have made our final decision and one of you is who we will be spending our childhood with, as our new friend.",well this is it we have made our final decision and one of you is who we will be spending our childhood with as our new friend
56272,6,6,Cartman,"Four friends, just one rose. The moment of truth is here. Kyle? Who does the rose go to?",four friends just one rose the moment of truth is here kyle who does the rose go to
56273,6,6,Butters,"This is, General Disarray. My final solution.",this is general disarray my final solution
56275,6,6,Butters,"Simple, my dear general. We are going to tear down the Earth's precious atmosphere! Oh yes! My latest plan will melt the polar ice caps, a-and burn all the world with the, with the... hu- sun's harmful rays!  Say goodbye to your... precious ozone and hello to chaos!  Okay, hand me another one, General Disarray.",simple my dear general we are going to tear down the earths precious atmosphere oh yes my latest plan will melt the polar ice caps aand burn all the world with the with the  hu suns harmful rays  say goodbye to your  precious ozone and hello to chaos  okay hand me another one general disarray
56277,6,7,Stan,"Okay, now put on the nose, Tweek.",okay now put on the nose tweek
56279,6,7,Kyle,Just stick it on.,just stick it on
56281,6,7,Stan,Just put it between his eyes.,just put it between his eyes
56283,6,7,Stan,"Tweek, when has that ever happened, except for that one time?",tweek when has that ever happened except for that one time
56287,6,7,Butters,How are things... oing with your new best friend?,how are things  oing with your new best friend
56288,6,7,Kyle,"Well, Tweek's okay, but he's certainly no Kenny!",well tweeks okay but hes certainly no kenny
56290,6,7,Butters,"Yeah, but he's still better than you, Butters.",yeah but hes still better than you butters
56292,6,7,Butters,"Well ah, that's good. Good luck being their new friend, Tweek. I hope you'll do better than me. Well, see ya fellas.",well ah thats good good luck being their new friend tweek i hope youll do better than me well see ya fellas
56294,6,7,Cartman,"You guys, you guys! You're not gonna believe it!",you guys you guys youre not gonna believe it
56296,6,7,Cartman,"Everything's gonna be okay, you guys! Life isn't so crappy after all!",everythings gonna be okay you guys life isnt so crappy after all
56298,6,7,Cartman,"No! I was looking in this magazine, and I found an ad for little ocean creatures that you can buy and raise in your room!",no i was looking in this magazine and i found an ad for little ocean creatures that you can buy and raise in your room
56300,6,7,Cartman,"Look!  Sea people. You keep them under a big tank of water and they like, build castles and play basketball and stuff.",look  sea people you keep them under a big tank of water and they like build castles and play basketball and stuff
56302,6,7,Cartman,Yeah! And look! They ride around on turtles and they play games with fish.,yeah and look they ride around on turtles and they play games with fish
56304,6,7,Cartman,"Okay, Kyle, you're being a Negative Nancy. Stop it. Eh, unless you want everyone to call you Negative Nancy from now on.  Now, what we need is to all chip in four dollars, and we can have them here tomorrow!",okay kyle youre being a negative nancy stop it eh unless you want everyone to call you negative nancy from now on  now what we need is to all chip in four dollars and we can have them here tomorrow
56305,6,7,Kyle,Only sixteen dollars? They can't be cool if they're only sixteen dollars.,only sixteen dollars they cant be cool if theyre only sixteen dollars
56306,6,7,Cartman,"If Nancy doesn't want to chip in, then it will be $5.35 per person!",if nancy doesnt want to chip in then it will be 535 per person
56307,6,7,Stan,"Alright, I'll chip in.",alright ill chip in
56311,6,7,Butters,"Wokay, mom. Ah I'm just gonna be up here, uh doin' my homework.  Yes. By day he is mild-mannered, sweet, and innocent Butters BUT...  nobody knows that he actually has a dark underside...  Professor Chaos! Haha! Time to wreak havoc on the world that shunned me!",wokay mom ah im just gonna be up here uh doin my homework  yes by day he is mildmannered sweet and innocent butters but   nobody knows that he actually has a dark underside   professor chaos haha time to wreak havoc on the world that shunned me
56313,6,7,Butters,"Ah, my faithful companion in world destruction, General Disarray.",ah my faithful companion in world destruction general disarray
56315,6,7,Butters,"Excellent, General Disarray! Now we can begin my most horrible evil plan yet to wreak havoc on humanity.",excellent general disarray now we can begin my most horrible evil plan yet to wreak havoc on humanity
56317,6,7,Butters,"Simple, my dear general.  We are going to block out the sun!",simple my dear general  we are going to block out the sun
