Character,Line
Cartman,"Well, when City Wok sees how skinny Butters is, they're not gonna want him to just make one commercial, they're gonna want several."
Mr. Garrison,The Mr. Hankey song-how does that go?
Cartman,"So God makes it rain frogs? That just seems kind of mean to frogs, Kyle."
Stan,"We do? Oh Oh yeah, we do!"
Kyle,He does kind of look like him dude. And Kenny thinks Cartman's Gordon Ramsay impersonation is really good.
Stan,"Some, kids from Orange County."
Kyle,I know what you mean.
Stan,"Dude, we gotta go get condoms quick."
Kyle,"No, I just can't get it to load."
Kyle,"Nah. Dude, I c-I can't go to have a birthday party while Butters is missing."
Randy,Dad?? Look! We don't know you and you don't know us! Just go away before we call the police!
Cartman,"Kenny, no! Don't do it, Kenny!"
Randy,"I almost did it. I almost made something of myself. You know, when you get real close, you start thinking that maybe your life is gonna matter.  I mean, this was something I made! Something that came from me! That was a part of me! The only thing I ever made that was any good!"
Cartman,"Shutup, Jew!  Yes, well. For my project, I made a pencil, taped to a pen. In this way we see the duality of writing devices that occur in nature."
Cartman,"I'm not booing your opinion, I'm booing your report topic. No one even knows what a refewgee is. Boo, booben, boo."
Cartman,"No no! I'm buying it to keep people out!  Don't you see? Forever it has been my dream to have my very own theme park, so that I could be alone in it, all day, every day. I love theme parks.  But the lines! Everywhere you go, people, crowds,  The rides are great, but...  All the lines, lines, LINES!  If there's one thing I hate,  all the lines, lines, lines, LINES!!  And then there get to be so many people  that they make FastPass.  So then there's lines for FastPass.  You stand in line to get a ticket to stand in line later. Then there's lines for the bathrooms , lines for the drinks , lines for cantakuras  and rare Kartankulas Plinks!  ...And, so you see, this park is for me. Nobody else will be allowed in it."
Cartman,"Goddammit, vegans piss me off! Now we're gonna end up with a stupid eagle or a faggy bobcat as a mascot."
Stan,"Alright Kyle, that's enough! I'm not gonna be bullied by you, okay?!"
Cartman,"Why, thank you, Peter Panda. This is Distinctive Earl Grey."
Kyle,I have no idea.
Stan,"Towelie, if you do not go to treatment, we will all ignore you forever. Will you go?"
Cartman,"Oh yeah, I guess that doesn't make sense."
Kyle,Dude. Being mature is boring!
Cartman,Your story is full of holes and I'm gonna beat your ass if you don't start tellin' the truth!
Kyle,"How, how long do we have to take the shuttle?"
Stan,"It's a game called ""Heaven versus Hell."" Kenny commands the armies of heaven against the forces of Satan.  Dude, you see what Kenny got?"
Cartman,"Minata! Kite kite, churi..."
Kyle,We have to find Red and Green Mega Man for Cartman's birthday party.
Butters,Well... how do you know you're not supposed to go to... you know... Heck.
Stan,"You find a good catcher's mitt, Cartman?"
Randy,The guy behind him is blind! There he goes! C'mon! C'mon! Go go go!
Cartman,"And I am the official messenger boy, I am."
Randy,"Stan, you must listen to me! You must stay indoors! Do not try to go out! Global warming has brought in a new ice age!"
Cartman,No! I hate hippies!
Cartman,"Yeah, if you don't eat meat at all, you become a pussy."
Stan,Fine! We'll see you back here tomorrow!
Mr. Garrison,You gotta get out!
Kyle,"No, turdpants, it's Kyle!"
Kyle,"Sure you will, Cartman. Sure you will."
Kyle,But what about Mr. Garrison? He can't go back.
Cartman,"Oh, looks like you landed on Park Avenue, Stan. You own me ten million dollars."
Stan,"That's just wrong, dude. I wish Cartman could see what it felt like to be ginger."
Cartman,"Hey you guys, I am really pissed off now."
Cartman,"Wait, there's a disease called Assburgers?"
Butters,"Please, sir. I have to get home to my world."
Kyle,"He's just... changing a lot. He walks around angry, telling me I'm stupid and, and all he talks about is sex."
Cartman,"What the hell?  Hey, what the hell are you guys doing here?! This is for mature people only!"
Randy,"Well, you boys must be pretty excited: Your first night of Scouts."
Kyle,You know what you assholes like! You like to fuck! And shit! And fuck! And fuck! And fuck! And fuck!
Butters,"Thaat's that's me,  Yeah. ."
Cartman,"No, dickhole. Four tickets, 28th row, for the Raging Pussies!"
Kyle,"I didn't wanna have to do this.  but if you don't tell us, I'm gonna tell your dad you helped get the wrong person elected President!"
Cartman,"Alright! Places, everybody! Bring in the turkey!  What the hell is that?"
Kyle,"I mean, I do, but, well, ever since I became friends with that Kip Drordy kid, a bunch of my other friends have started ignoring me. It would be fine except for my farm is starting to shrink. I know that I should just dump Kip as a friend, but that's such a terrible thing to do and, I'm sorry I'm just so confused I... I really need a friend right now."
Butters,"I am prepared.  Hoh, jeez, eh it sure got cold in here."
Kyle,"Ma'am, we are a very important talent agency. If your producers knew you were forcing people of our stature to the back of the line, well-"
Randy,I've studied musicals! I've seen them all! I could do this!  Let's bro down!
Cartman,The spirit of the dragon is in your hands. Hurshar kashurshar. Hurlong churshar. All right?
Cartman,"Jimmy, Jimmy, what the hell are you doing, man?"
Stan,"Jesus, is Cartman still in the bathroom?"
Kyle,"Hey guys, can we talk to you?"
Butters,"Oh yeah? Well, at least we have assholes, you dumb girl!"
Stan,"Dad, we're not allowed to add anything to the car that doesn't come in the approved kit, remember?"
Cartman,Don't you get it Butters?! It's never gonna happen for me! Those people are way more poor and stupid than I'll ever be. I might as well kill myself.
Kyle,"You guys! You guys! I've looked up the word, ""shit""! I think it might have something to do with people dying!"
Mr. Garrison,"All right kids, go ahead and visit the charming villagers and learn stuff.  Keep track of your partner!"
Randy,Get inside! Get inside!  Seniors' meeting getting out! Get off the streets!
Stan,"Oh dude dude wait, I'm sorry."
Cartman,"Man, Indians have it good, huh?"
Kyle,Didn't you forget something?
Cartman,"It is real, Craig! I saw it on the news, butthole!"
Mr. Garrison,"Okay kids, let's take our seats.  There has been a change in school policy, and so I'm assigning you all a book to read."
Cartman,"Ey, that's what I've been saying all along, you guys."
Cartman,I'm starving. This is it. I'm going to die here.
Stan,"And why is it that on Charlie Brown cartoons, everyone talks like this."
Kyle,This is not Mr. Hankey!  This is a fake!
Kyle,That's not what she said. You're putting extras on again. It's not that funny.
Kyle,"Yeah, I don't know what to do with it, though. Well, see ya."
Kyle,Hey. Aren't you guys the underpants gnomes?
Cartman,"Come on. Come on.  Come on. Oho, this is so sweet!  You guys, seriously, this is sooo sweet!"
Cartman,You guys! You guys! I have the best idea ever! I'm gonna be rich!
Butters,You sure you want to do this?
Butters,"Aghah. Okay, stop! Stooop!"
Stan,It didn't sparkle with all the girls. We have the real list.
Randy,"...Oh I gotta pee. Hand me that empty bottle, Stan."
Stan,It might hold the key to a curse.
Kyle,Maybe we need to make students think they have to watch our news show or they'll die.
Kyle,"Wow, that'd be cool."
Kyle,...Not anymore you're not.
Cartman,How do we trap a bunch of pirate ghosts?
Cartman,"Yeah, you guys are real hard core."
Kyle,"Jimmy, are you sure?"
Kyle,I happen to be the one person who's putting everyone else's needs before their own!
Kyle,"Well there's nothing you can do, so you just have to be patient."
Kyle,"Oh, man, I don't feel so good."
Kyle,"All right, I've had just about enough of this! They told us in school, and on TV, that most people in Pakistan and Afghanistan like America."
Mr. Garrison,What?? That's what I'm doing!
Kyle,"Because- because that's not even entertainment! I mean, it's just, just, rehashing shit, isn't it?? It's like everything these kids are into these days, you know, it's just... rehashed shit!"
Randy,I don't know if I've changed or you have. I just feel like I might not have a whole lot of time left and... I want to enjoy it.
Stan,"Uhh, hay guys, look, we don't wanna win, so uh,  here's a list of all the pitches I'm gonna throw, in order."
Randy,"The little boy combusted because he had a new girlfriend. It wasn't the girl that caused him to combust, it was the fact that Kenny did not want to pass gas in front of her.  You see, as food is digested the natural processes give off a byproduct known as methane gas.  The methane gathers here in the bowel area , where it causes pressure. Normally a person would expel this byproduct in the form of a pleasant fart.  Should the gas not be expelled,  the methane can build up and then ignite,  leading to... disaster.  Kenny combusted because he held his farts in for too long."
Butters,"Oh, is that who the book was tellin' me to kill? Ohhh.  Kill Ronald Reagan.  Kill Ronald Reagan."
Cartman,"...No, our teacher's dead. Remember?"
Cartman,"No. Because. It doesn't belong to Kyle, it belongs to me! It's MINE!"
Kyle,Oh this is sweet. I've seen this episode.
Mr. Garrison,I can live with that.
Randy,"""Frozen and processed foods appear to have a direct link to many forms of stomach and colon cancers."" Alright.  ""Tests show that preservatives found in these foods are the leading cause. However, luckily most of these cancers are...""  ""slow-growing and can take years to develop."" Dammit.  ""Testicular cancer. Most common in older men and can be extremely aggressive."" Oh this is good. ""There's no data on what causes testicular cancer to grow so rapidly, however the primary causes of testicular cancer are linked to exposure to high doses of radiation"" Hmmm.  Oh hey, Stan, could you grab me a beer?  Stan?"
Cartman,"What? What?! WHAT?! What are you guys talking about? What are you guys doin'—What are you talking about? I knew it! You guys are having a big 99% rally, aren't you?! Occupying the cafeteria?! You wanna know why you guys are all here protesting?! Because you're pissed off, but you actually think it's wrong to be pissed off at a black president, so you're all just pissed off at ME! Well go ahead! Have your little rally to figure out how to stick it to the 1%! See what it gets you!"
Stan,"Shut up, fat ass! I don't even like her!"
Randy,"Son. ...You have to learn how to lie correctly someday, might as well be today, alright? I love you, son."
Kyle,"It is not stupid, Kenny! This is my faith and you shouldn't make fun of it!"
Stan,"No, dude, if you wanna be Christian, that's cool, but, you should follow what Jesus taught instead of how he got killed. Focusing on how he got killed is what people did in the Dark Ages and it ends up with really bad results."
Mr. Garrison,It's obvious where all the talent in that family went!
Cartman,"I'm sorry, but I know my rights. You can't search my room without a warrant. And I'm afraid I can't give you permission."
Cartman,"You guys! You guys! Seriously! I'm a sorcerer! Zhyagah, zhyah, zhyagot that."
Stan,I'm not shooting anybody.
Kyle,Calm down Butters! The men are taking action. But we need to take your picture.
Cartman,"Oh, I'm sure I do."
Kyle,Hey! Maybe we should ask the girls what they learned in sex ed.
Stan,"You people just got greedy, like the Native Americans!"
Cartman,"Ma'am, we're having a dude moment here, if you don't mind?"
Randy,"Really? I mean, you're openly selling pot? For reals?"
Cartman,"I'm not sure of anything anymore.  Now Butters, listen: No matter what happens, no matter what you hear, do not come out! If I don't make it back in time with the others, then it will be up to you to repopulate the Earth."
Butters,"For family fun and great food, too, come on down to... Bennigan's
Buffalo wings and fried food, cokes, and Foster Farms at... Bennigan's
Uhuh, hello?
So come and eat at..."
Stan,Where'd you get those?
Cartman,"Hey, you guys wanna come to my bris tomorrow?"
Stan,What is the deal with the coloring the eggs and you hiding them and all that? What does that have to do with Jesus dying on the Cross?  It is symbolic? Are you trying to reference something that happened in Biblical times?  Answer me!
Randy,And then she does. It's a metaphor.
Mr. Garrison,"Oh, please God, let it be forever."
Randy,"On this day let us all remember that no people on this earth are really enemies, only folks with differences."
Cartman,"What he means is that he's jealous that you've taken his place as my new best friend! But grow up, Kyle! Change is a part of life."
Stan,"Please, take us to them! Please!"
Kyle,"Hey dude, how'd it-?"
Cartman,Waitwaitaminute waitaminute. These... manatees demanded that Mohammad be shown? How? Manatees don't talk!
Kyle,Everyone came as Chewbacca?!
Cartman,"Nobody's fuckin' screaming, Craig! Wake the fuck up!"
Stan,She looks pretty hot here.
Cartman,Yeah! That's the Pirates of the Caribbean. Ugh.
Stan,"What are you doing here, dick?! We're not supposed to fight until 4 o'clock!"
Stan,So we're just gonna let other kids decide which game system we all play on? What would they do on Game of Thrones? What would they do when things look their darkest?
Butters,Well it's just that my parents are... I can't picket!
Kyle,That's 15 people we got to agree to come see David Blaine perform in Denver.
Cartman,"He's not crazy, he's an idiot. I know how to deal with these people."
Butters,"Yeah, but lockin' Kyle in a meat freezer? I mean, he could die."
Cartman,"All right, here's what we know. That chick Nelly is the one who's in charge of holding the list, right. She apparently keeps it in a purple Pee Chee folder, and we need a plan to get it from her.  This is what I call ""Operation: Cannot Possibly Fail"""
Cartman,No. There's people you can hire to do these kinds of things.
Stan,"You know, I learned something today.  I learned that Jewish people are okay.  And that...Channukah can be cool, too."
Stan,"Yeah, their purity rings turned our friend into a douche!"
Kyle,"You, you paid your friends tuh...  not make fun of me?"
Stan,"Kyle, you know how some people are, like, murderers and stuff?"
Kyle,"Dude, what the hell has gotten into Cartman??"
Mr. Garrison,Good. See you in school.
Kyle,"It's true.  He doesn't care what faith you are.
Mr. Hankey, the Christmas Poo
he loves me and I love you
Therefore, vicariously he loves you
Even if-"
Cartman,You don't know how many Smurfberries the life of each Smurf is worth.
Kyle,Guantanamo Bay?! We can't go to Guantanamo Bay!
Cartman,"Tchehe, right. That's why it's super funny to me."
Cartman,I'm not saying it.
Kyle,This copy of Lord of the Rings made the young Butters behave quite awfully.
Cartman,"Yeah well, ya wanna do somethin'? I wanted to hang out with Stan and Kyle, but they're all pissed off at me for somethin' so I have to hang out with you."
Randy,"Hey Jakov. Uh, could you run down to the store and get some more... pretzels?"
Cartman,No no! He's my son! I adopted him.
Butters,"Oh man, now our friend Kenny's tryin' to break the windshield. Ain't that just gay as hell?"
Kyle,How... do you make semen come out?
Cartman,And now Stan is so consumed by the shit you've been pushing that he can't even see through it! How could you sell out your friend?!
Mr. Garrison,"I know, I know. I'm sorry, children, but we can't afford chalk anymore. I have to write on the chalkboard with this rusty nail. Anyway, children, in the sentence, ""The ball is red..."""
Cartman,For everything bad I've ever done?
Kyle,"That's a retarded idea, Cartman!"
Butters,I can't! Don't you see?!  Don't make me swallow this! Wa-I'll do it
Mr. Garrison,"Ey, guess what everybody?! I'M GAY!!!"
Stan,"Look. He's gonna kill me, Mom!"
Stan,"Wow, you're smart Uncle Jimbo."
Stan,"See, I told you dude."
Cartman,Hey! What's going on? What is that?
Cartman,Wait a minute! You guys did make me ride that bull!
Stan,Just a second fat-ass!
Stan,Tryin' to help. My dad says to distribute all these guns.
Cartman,"Okay, that's does it! Now listen! Why is it that everything today has involved things either going in or coming out of my ass?!  I'm sick of it! It's completely immature."
Kyle,I'm going to break everything that you own!
Stan,"I guess, there's only one thing left for me to do."
Kyle,"No, no, w-we we really did write it. Tell them, Butters."
Stan,"Just help me take it back. Come on!  Did you find the address, Aunt Flo- Aunt Flo!"
Kyle,"Hey, look.  Hello?"
Cartman,"Yeah that's good, but now go ARRRGH!"
Randy,"Well, I think it's time for us to leave the poor girl alone."
Randy,"And suddenly there I was, thrown into a group with four other young men who I didn't even know."
Cartman,Stupid assholes!  How come nobody has a crime to solve?
Butters,Ha-I'll be nine next week.
Randy,"Oh, right! I can't stop being sarcastic now!"
Mr. Garrison,"Stay in your seats, children. I'll be right back."
Stan,Yeah. I'm sure glad that's over with.
Stan,"Three four five one Colfax Avenue. Come on, Butters."
Cartman,"No, I'm not from here at all. I'm having a flashback."
Kyle,"Look man, w-we know what you learned was pretty tough to hear."
Stan,"Kyle, what were you thinking?"
Kyle,Oh my God! I killed Kenny! You bastard!
Cartman,"No way Jesus was son of God, huh, Butters?"
Kyle,"Dude, have you ever heard of whispering?!"
Kyle,"Dude, we can't do a presentation on underpants gnomes. Mr. Garrison will fail us because you're making it up."
Cartman,"Please tell her there is to be a meeting in the Great Hall. I have found a way to get XBox Ones, and the fair Lady McCormick will want to hear about it."
Cartman,Weh hunh hrhrh hrh huh-right! Like I'm some hippie Indian.  You know what I'm sayin' G? Check you later-I'm gonna go chill with mide-my dad.
Mr. Garrison,"You had me at ""free blanket."""
Cartman,"Hahaha, now say ""Caroline, don't go into the light!"""
Kyle,"Come on, hurry. I bet we can get to level 29!"
Cartman,"Because, Butters, I'm... dead."
Randy,"Stan, how do you think the Hollises beat us every year?  I'm sure they put lead in the wood or something; we're just leveling the playing field.  There."
Randy,"Yes, kids.  With us, now come. Home. Hoomme."
Cartman,"You forgot your neurons would be torn apart?! Did you also forget that if you die in virtual reality you die in real life, Butters?!"
Cartman,"I know the Coon personally, and I can tell you, being a Coon friend is the very highest honor. As you can see in those papers, your first three months of dues have actually been waived. This must be amazingly exciting for you."
Kyle,"Yeah. But you know, I've learned something today. You see, the basis of all reasoning is the mind's awareness of itself. What we think, the external objects we perceive, are all like actors that come on and off stage. But our consciousness, the stage itself, is always present to us."
Stan,"Wow, that was short."
Kyle,"These producers making a big holiday special!  They had me upload a video for a commercial they're about to air! They said my hash tag was awesome, and they wanted to promote it!"
Stan,"Yeah, it'll be awesome. Just the four of us."
Stan,Relationship stat- I didn't even pay any attention to that-
Cartman,"Heh, I hate those things."
Mr. Garrison,"Okay now, who can tell me what year the first astronauts landed on the moon?"
Stan,But all the other kids are gonna watch it and talk about it at school tomorrow.
Stan,"Okay, good! Do it! I'm not scared of you! Sue me!"
Butters,"Oh, that's all right, AWESOM-O. Come on! I have a lot of things to teach you."
Cartman,"Oh for the love of Christ.  I wanna watch, fat boy!  No, Kenny, it's not funny!"
Cartman,"Come on, Kenny, you have to give me the subspace cruiser  so I can destroy the Gengrins on Crespus 5."
Stan,"All right, guys. Tonight is our big game against Adams County. We still have all day to practice."
Kyle,"Come on, let's go!"
Cartman,I guess we gotta go back to school.
Randy,No! That was a copy of me!
Cartman,He was a basketball player.
Stan,"""So, we meet again, Jennifer Lopez!"""
Stan,They're gonna chop off his wee wee!
Cartman,"Mr. Hindsight, I represent some very high-profile people,  and I've been asked to give you some really exciting news.  You, have been pre-approved to become the newest member, of Coon and Friends."
Kyle,Just come on! It's getting dark.
Butters,"Uhuh wuhwe've got an eyewitness exclusive video for you, sir."
Butters,"Hey, hey sweetie, I was thinking tonight you could come over and we could watch The Exorcist on DVD."
Butters,"Aw, I can't stop the Chinese tonight, Eric, uh I'm supposed to make a model car with my dad."
Stan,"Wait! Wait, they they can't do this! Uh, let us talk to the network heads!"
Cartman,"Oh, I see. Now you're going to join in on the little joke huh?"
Cartman,"Hey, it's like all bloody. It might be alive."
Stan,What the hell is going on here?
Kyle,Can you see anything?
Stan,"Dude, that kicks ass!"
Randy,Know anywhere else we can stay? We're... heading out Californee Way. Looking for some Internet.
Stan,"What's ""lose bowel control?"""
Cartman,"I mean, Germany was united under the swastika, right? But,… obviously history wasn't as important as changing the views after the war and stuff, so hey changed it."
Stan,What?! But you made him into a basketball player.
Cartman,They are gonna cut off his fireman!
Cartman,"Testing, testing, 1 2.  Sweet."
Cartman,"You hear that, McNuggets? You're goin' to the big leagues!"
Butters,So... the ghost was in my head. The whole time.
Cartman,"Who's there?!  Lock that door behind you, Token.  Black people live here!"
Stan,"We can sneak out of here, get a boat, and go help them off their roofs. That way, I can do the right thing, but still lie about it."
Cartman,"Oh God, why don't you sit under a rainbow and write a poem, Kyle?"
Stan,My parents told me Slash wasn't real when I was five. Jehesus Christ.
Kyle,Hmm... This isn't going over so well.
Kyle,"Dude, where in the world can Britney Spears go where nobody will bother her?"
Randy,"Yes. And now seeing how early they get up, I don't see how anyone can stop them. Wait a minute. You boys! You get up almost as early as they do! You can fight them!"
Cartman,"It's Adolf Hitler costume. Sieg Heil, sieg heil."
Stan,"Dude, ah I just...  ah I don't know what to do here."
Stan,D'you think that's enough?
Cartman,"Oh my God, this is sooo cute."
Kyle,"Hogh, my stomach hurts."
Cartman,"No! I mean, what the hell are you doing?! Why are all my mature adult friends being ""mys-teriously"" arrested, huh?!"
Butters,"Hey, Jimmy, what's a B.J.?"
Kyle,"Yeah, what do you guys wanna do now?"
Mr. Garrison,"Mr. Twig, is that you?  Mis-Mr. Twig?  Aagghh!! Mr. Twig! No!  Who did this to you, Mr. Twig?! Who?!"
Butters,Sure! Senator Morris gets kisses every day at lunchtime. You know where he likes to get kissed?
Kyle,Rainbows are those little arches of color that show up during a rainstorm.
Stan,"Yeah. He was standing there waiting for you, and he was all like, ""Man, Tweek's a wuss,"" and we were all like, ""No he's not, Craig,"" and he was all like, ""Yeah he is, he isn't showing up. He's a big wuss, and he has crooked teeth!"""
Stan,"All right, look, you're driving in your car, okay? And you're waiting to make a left at a traffic signal. The light turns yellow, should be your turn to go, but the traffic coming at you just keeps coming. And even when the light turns red, a guy in a BMW runs the red light so you can't make your left turn. What goes through your mind?"
Cartman,"Oh, dude, here it comes!"
Mr. Garrison,"You will read it at home,  and you will all be mature about its adult themes and language!"
Mr. Garrison,"Yeah, I tell you boys, women can kill. Poontang's expensive. That's why when it comes to chicks, I just screw them and leave them. I'd say ""get out of my bedroom, poontang, before you suck my life dry!"""
Stan,"Dad, Dad.  Mom wants you to come home."
Cartman,"Wow, coo'..  Chocolate rules!"
Cartman,"Dude. Come on, now. Come on."
Kyle,"You're right.  Jesus, that was fun..."
Randy,"Alright, boys, we're gonna head to the bar. We'll be back to pick you up at nine."
Cartman,JESUS IS A LIE!
Stan,"...He's got us there, dude."
Stan,Station Two: Jesus takes his cross.
Kyle,I was just explaining how a negative argument doesn't make a po-
Cartman,"Hello, ma'am. I'm working to clean up the neighborhood from parasites. Do you mind if I take a quick look around your house? I'm afraid you may have hippies."
Cartman,"I want to thank you for all the blessings you have brought me. You have shown me the way so many times in the past and... now you are making all my dreams come true. You give me strength when there is doubt, and I praise you for all you have done.  Only you, Mel Gibson, have had the wisdom and the courage to show the world the truth. From this day forward I will dedicate my life to making sure your film is seen by everyone. I will organize the masses so that we may do thy bidding. Hail Mel Gibson. Amen."
Kyle,It doesn't even look like they're open.
Stan,I'll call. I know my mom's credit card number.
Cartman,"Whoa, Pixie Sticks, twenty-nine ceeeents?  Wall-Mart? ...Are you speaking to me? ...My friends? ...Trying to hurt you again?  Yes, Wall-Mart. I understand."
Kyle,Phew. The one videotape is sought after indeed.
Cartman,"Lowest Eb, let's see. I think it looks like this."
Randy,Just trying to leave without being rude.
Randy,"Yeah, it's awesome to be on your show."
Cartman,Ey! Just because I'm Texan doesn't mean I'm fat!
Mr. Garrison,"SHUT UP! I want you all in your study groups of four, and if you can't give an outstanding report on what the Founding Fathers would have to say about all this protesting, then it's Fs for you!"
Kyle,I have to show you something.  I think it will change the way you feel about your impact here.
Stan,"Dude, I didn't know there was such a thing."
Stan,Then you're a stupid douche
Cartman,"There are too many minorities (too many)
At my water park (somebody do something).
Where did they all come from?
Why can’t they leave this land alone?
And it’s such a tragedy (feel a bit like dying).
We looked the other way too long.
We’ve got to change our priorities
And get all these minorities
Out of my water park
(Minorities) Mexicans and Asians,
(Black people), I think I even saw a Native American (gross).
God I’m asking please, get all of these minorities
Out of my water park (my water park)."
Cartman,"You know, the tooth fairy forgot to bring me money last night! Call the police!"
Stan,"No, no, he said not cool. We got our new teacher today; it's, it's Mr. Garrison, our old third grade teacher."
Cartman,Where is it? Where is it?!
Cartman,"Dude, we're not gonna betray you. Come on! Did you see Prometheus? I don't think the writers even knew what that was about."
Cartman,I think my mom is a corporation.
Stan,Hey! We've landed in ice cream!
Cartman,"Kyle, I was going to suggest that maybe you should... hang out with the other ugly kids in the school. Because if you hang out with them, you won't stand out so much. Right?  Cool."
Stan,Where's Kenny? He said he had the best Halloween costume ever.
Cartman,"Damn, brah, your little brother's pretty cool."
Butters,What are you whoofelin' at?
Stan,"Those rams can do to us what they will, Mr. Lucas, but we'll never stop trying to protect films."
Mr. Garrison,"Wow, that's... really great to hear."
Stan,"We told ghost stories, a-and learned how to make a tornado in a glass bottle!"
Butters,"Nah, I ate on the plane. And AWESOM-O is a robot, so he don't need to eat."
Kyle,"It's only three days until Christmas, you guys! You know how bad things have been around here. I think it might be because Mr. Hankey hasn't come."
Cartman,"I get to wear it first, you guys."
Randy,You... understand if I'm a little wary of trusting you.
Cartman,"Nobody deserves this illness, Stan, Kenny! Nobody! It's awful! And maybe somebody needs to teach Kyle how to have some compassion!"
Kyle,Whoa Cartman. Looks like you didn't get much sleep last night.
Cartman,Do you think I'm an idiot?
Cartman,"Well, I'm sorry, I had to take a dump!"
Cartman,That's because you're too grumpy and negative to believe it. What you need... is a sports drink that can boost your levels of caring and goodness.
Kyle,"No no, he's right! We've gotta make it for someone in need so that people have to go."
Cartman,"You shut up! You're lying, and  you two are covering up for him! You know what? You're just like Jews yourselves! Stan, you're a Jew, and Kenny, you're a Jew! You're all Jews!  OW!  OW! AAAAUH!  NYAAAAAAAAAA!"
Randy,"Alright, alright, that's enough, boys."
Cartman,"Hah. Yeah, well, I'm just glad that stupid TSA crap is over with. I know you've had a tough week, Clyde. But at least your mom didn't die for nothing. I mean, we're kinda right back at the bathroom being the last bastion of American freedom. So technically, your mom did die for nothing, but... Clyde? Clyde?"
Butters,"Hey, you stop hollerin'! It's your anniversary."
Kyle,Come on guys! We gotta go tell Chef he's in love with a succubus.
Cartman,"I'm being serious, Kyle! Hello?!"
Kyle,"We thought you were meeting us at Cartman's. What are you doing here, Taylor Swifting?"
Kyle,How long does this thing last?
Cartman,"I need to speak with him, please."
Randy,"Yeah, you know what? Fuck you!"
Cartman,"He's lying, dude. Hit X"
Kyle,"Come on, dance!  Daaance!  Dance, damn you!!"
Stan,Today is Towelie's intervention. We have ...no idea how he's gonna react.
Cartman,Tweek!  TWEEK!!  TWEEK!!
Butters,"I don't know, Dad, ah I was just pissed off, I guess!"
Butters,But you said to take your money so I took it by  Ah I don't know.
Kyle,"Stan, I don't like Wendy.  All I cared about was getting an A in this stupid project!"
Stan,"Yeah, Dad, I was kinda forced to."
Cartman,"Okay. Who got rid of the Muslims, huh?  That was all me. Simple thank you will suffice."
Kyle,"You've always been a dick to me, Cartman, and I'm not inviting you."
Kyle,I don't care if I signed an agreement!
Randy,"Back and we're back and we're back!
We're so back, we're so back back back back back back!"
Kyle,"All right, all right, you could be Jesus, you tubby cry-baby!"
Stan,"All right. In order to make our plan work, we're going to need the pool from Clyde's back yard, Timmy's wheelchair, the Russian government, and all of our skateboards."
Mr. Garrison,"Oh, good idea. Okay Stanley, you're next."
Cartman,"Look, a covetous Jew!"
Butters,"Uh, I won't tell anybody."
Mr. Garrison,"Good.  Very good.  You're ready to move on to the next level. But I warn you: we will now be diving deep into your own psyche. These children know what scares you, and so we, too, must face those demons."
Cartman,I clocked you at 40 miles an hour back there. Do you know what the speed limit is heawh?
Butters,He wishes he would have been a better son sometimes.
Kyle,That's a retarded idea that won't work. Why are you really doing this?
Cartman,Oho yes! I did it I did it!
Butters,Oh God! Oh Jesus!
Stan,"Dude, it's our dads."
Butters,You think I care about that? My writing got the most beautiful woman in the world killed! I loved her! And if she died it was because of me!
Butters,No- but you don't sound like me.
Stan,"Dude, he looks so peaceful without his little orange coat on."
Butters,"I said what what? In the butt
I said what what? In the butt
I said what what? In the butt
I said what what? In the butt
You wanna do it in my butt, in my butt?
You wanna do it in my butt, in my butt?
You wanna do it in my butt, in my butt?
Let's do it in the butt. O-kay!"
Stan,Now do you people believe me?
Randy,You mean... drive in hybrids... but not act like we're better than everyone else because of it.
Kyle,A break from what?! You haven't done anything!
Cartman,"Hey, look! They're giving away bread outside!"
Stan,Don't worry. We're about to go get 'em back.
Stan,"Ms. Peterson, is your daughter home?"
Cartman,"Yeah. I could prance around in little tights and sing opera too, for that kind of cash."
Cartman,"Eh eh, you're right, Colonel Sanders! You shouldn't give her any more chicken."
Cartman,"Oh, God-dammit you better be kidding!"
Kyle,"Dude, our town is going to be better without the-  What the?"
Kyle,It's not working here?
Mr. Garrison,"Well here, take a Pepto pill. I can't have my teacher's ass under the weather."
Stan,I have a button we can use for his nose.
Stan,"Come on, guys, we're running out of time!"
Randy,What do you want?
Cartman,"No, you guys, this is really cool. Come on!"
Cartman,"All right, this one I can win!  Here, hold this!  I'll show you Goddamned retards!"
Kyle,"'Cause they're gonna get slaughtered tomorrow, butthole!"
Kyle,Your grandma left it to you! You didn't earn it!
Randy,"And so you see, Stanley, I... do know what I'm talking about."
Randy,"Yes I do, yes I do."
Cartman,'Cause we have ten bucks riding on it.
Stan,"Muhammad, are you okay?"
Stan,We went out and got Towelie a job so he could try to pay us back all the money he owes us!  Stupid towel!
Mr. Garrison,"Oh dear, sounds like I'm gettin' fired."
Kyle,I am picking up carbon-based life forms in Sector C. I believe we will find a village of peaceful aliens over that ridge.
Stan,Did you hear anything more about what happened?
Mr. Garrison,"Dammit, don't give me that medical jargon! Just tell me straight, is he going to be okay?!"
Kyle,Just just leave it alone.
Kyle,You don't have any powers!
Cartman,Holy crap!  Behold! The Ewok Village 2000!
Kyle,How do you do that?
Cartman,"Nay, Butters! The one tape must be brought back to Stan'ses house."
Stan,Yeah. Nobody plays the Chinpokomon video games anymore. Now it's all about the big weekend Chinpokomon camp.
